P_BASIS,CHANNEL_ERROR,AD_BLOCK_SIZE,AD_SCORE_THRESH,USE_AD_WEIGHTED,EC_EFFICIENCY,sift_len,qber,eve,leak,final_len
0.88|0.06|0.06,0.003,4,3.0,True,1.05,6257,0.10532203931596612,0.2383130770681119,763.5882359463392,284
0.88|0.06|0.06,0.003,4,3.0,True,1.06,6243,0.10523786641037962,0.24610547786467452,832.4620293192318,226
0.88|0.06|0.06,0.003,4,3.2,True,1.05,6289,0.09890284623946573,0.23186677139193823,760.0150945077643,324
0.88|0.06|0.06,0.003,4,3.2,True,1.06,6264,0.09770114942528736,0.23665082629168582,812.6762361054734,254
0.88|0.06|0.06,0.004,4,3.0,True,1.05,6353,0.11191563041082953,0.24345560011387657,832.6352453418083,226
0.88|0.06|0.06,0.004,4,3.0,True,1.06,6279,0.10224558050645007,0.2337551169268468,856.7400519878178,221
0.88|0.06|0.06,0.004,4,3.2,True,1.05,6256,0.10453964194373401,0.23267444813262295,882.6789205882683,194
0.88|0.06|0.06,0.004,4,3.2,True,1.06,6239,0.10097772078858791,0.24352893854685248,811.2602383061228,253
0.85|0.075|0.075,0.003,4,3.0,True,1.05,5889,0.10137544574630668,0.24148519034994714,801.3712713375983,198
0.85|0.075|0.075,0.003,4,3.0,True,1.06,5887,0.09920163071173772,0.23414487056591032,727.9539967351541,279
0.85|0.075|0.075,0.003,4,3.2,True,1.05,5826,0.10968074150360453,0.2510474351392573,765.1246497556374,196
0.85|0.075|0.075,0.003,4,3.2,True,1.06,5907,0.09717284577619772,0.23855042336693233,740.4452631547847,259
0.85|0.075|0.075,0.004,4,3.0,True,1.05,5903,0.10367609689988141,0.2395734740463458,814.2803818174024,192
0.85|0.075|0.075,0.004,4,3.0,True,1.06,5865,0.10895140664961638,0.24189341783772642,807.3637103736575,175
0.85|0.075|0.075,0.004,4,3.2,True,1.05,5879,0.10324885184555196,0.2463327357230354,781.2178763387715,202
0.85|0.075|0.075,0.004,4,3.2,True,1.06,5906,0.1015916017609211,0.23668237601993608,755.8728887185213,245
