P_BASIS,CHANNEL_ERROR,AD_BLOCK_SIZE,AD_SCORE_THRESH,EC_EFFICIENCY,USE_AD_WEIGHTED,EVE,FINAL,SIFT,QBER,LEAK
0.88|0.06|0.06,0.003,4,2.8,1.05,True,0.228188,437,9467,0.102144,1221.9
0.88|0.06|0.06,0.003,4,3.0,1.05,True,0.228757,361,9298,0.107227,1272.4
0.88|0.06|0.06,0.003,4,3.2,1.05,True,0.218350,488,9374,0.098784,1190.7
0.88|0.06|0.06,0.004,4,2.8,1.05,True,0.228949,342,9412,0.109541,1320.7
0.88|0.06|0.06,0.004,4,3.0,1.05,True,0.229850,417,9378,0.104287,1236.7
0.88|0.06|0.06,0.004,4,3.2,1.05,True,0.227224,491,9430,0.102545,1172.9
0.88|0.06|0.06,0.005,4,2.8,1.05,True,0.229922,388,9333,0.107040,1230.9
0.88|0.06|0.06,0.005,4,3.0,1.05,True,0.227089,350,9352,0.106929,1282.7
0.88|0.06|0.06,0.005,4,3.2,1.05,True,0.225931,451,9328,0.106883,1180.3
0.85|0.075|0.075,0.003,4,2.8,1.05,True,0.221962,386,8836,0.100498,1184.4
0.85|0.075|0.075,0.003,4,3.0,1.05,True,0.228199,396,8855,0.102089,1156.0
0.85|0.075|0.075,0.003,4,3.2,1.05,True,0.222329,413,8852,0.100429,1157.6
0.85|0.075|0.075,0.004,4,2.8,1.05,True,0.231081,306,8760,0.107192,1217.8
0.85|0.075|0.075,0.004,4,3.0,1.05,True,0.225458,486,8885,0.103095,1075.9
0.85|0.075|0.075,0.004,4,3.2,1.05,True,0.231610,395,8797,0.102421,1146.0
0.85|0.075|0.075,0.005,4,2.8,1.05,True,0.228174,478,8852,0.101898,1079.1
0.85|0.075|0.075,0.005,4,3.0,1.05,True,0.228788,375,8802,0.100432,1177.7
0.85|0.075|0.075,0.005,4,3.2,1.05,True,0.231191,339,8711,0.106302,1174.8
0.8|0.1|0.1,0.003,4,2.8,1.05,True,0.232603,340,7970,0.103764,1047.3
0.8|0.1|0.1,0.003,4,3.0,1.05,True,0.229208,293,7939,0.106437,1080.8
0.8|0.1|0.1,0.003,4,3.2,1.05,True,0.228955,340,7933,0.105635,1037.2
0.8|0.1|0.1,0.004,4,2.8,1.05,True,0.232196,380,7920,0.104167,994.9
0.8|0.1|0.1,0.004,4,3.0,1.05,True,0.230843,361,7886,0.101826,1016.7
0.8|0.1|0.1,0.004,4,3.2,1.05,True,0.238630,376,7875,0.107556,972.7
0.8|0.1|0.1,0.005,4,2.8,1.05,True,0.224533,368,7921,0.103270,1027.4
0.8|0.1|0.1,0.005,4,3.0,1.05,True,0.233925,244,7810,0.104481,1120.5
0.8|0.1|0.1,0.005,4,3.2,1.05,True,0.233772,385,7898,0.108002,976.9
